skill,function,form,基础伤害,范围,冷却,notes
战争践踏,CTRL,瞬发,有,中AOE,有,AOE眩晕
圣殿,DEF,光环,无,中半径,无,反不死+不能复活
蔑视,DEF,光环,无,中半径,无,+防御
抗冰,DEF,光环,无,中半径,无,+冰抗
抗电,DEF,光环,无,中半径,无,+电抗
抗火,DEF,光环,无,中半径,无,+火抗
救赎之光,DEF,光环,无,中半径,无,全元素抗
专注光环,DEF,光环,无,周围,无,+护甲
霜冻护甲,DEF,buff,无,单友,有,+护甲+触者减速
巫毒,DEF,buff,无,周围,有,范围无敌(R)
骨甲,DEF,buff,无,自身,无,物理护盾
法力护盾,DEF,buff,无,自身,无,蓝代HP
旋风护体,DEF,buff,无,自身,有,吸元素伤
变身,DEF,buff,无,自身,有,变恶魔+远程+HP(R)
冰冻盔甲,DEF,buff,无,自身,有,触者冻
神圣之盾,DEF,buff,无,自身,有,+格挡+防御
狼人,DEF,buff,无,自身,有,变形：攻速+HP+
机械形态,DEF,buff,无,自身,有,变形+护甲+伤害(R)
化身,DEF,buff,无,自身,有,魔免+HP+伤害(R)
极速,DEF,buff,无,自身,有,+攻速+移速
神圣护甲,DEF,buff,无,自身,有,无敌持续时间
熊,DEF,buff,无,自身,有,变形：HP+伤害+
隐退,DEF,buff,无,自身,有,+元素抗+缩短debuff
能量护盾,DEF,buff,无,自身,有,伤害转蓝
冷酷之触盔甲,DEF,buff,有,自身,有,远程冻
寒冰盔甲,DEF,buff,有,自身,有,触者+反伤
焚烧,DMG-魔,被动,有,自身,无,攻击附火DOT+爆炸
蝗虫群,DMG-魔,持续,有,大AOE,有,蝗虫吸血(R)
火山,DMG-魔,持续,有,大AOE,有,火山(R)
死亡凋零,DMG-魔,持续,有,大AOE,有,范围DOT(R)
流星雨,DMG-魔,持续,有,大AOE,有,陨星雨(R)
陨石,DMG-魔,持续,有,大AOE,有,延迟落下
燃烧之油,DMG-魔,持续,有,大AOE,有,陨石雨
暴风雪,DMG-魔,持续,有,大AOE,有,
烈焰风暴,DMG-魔,持续,有,大AOE,有,大范围火焰DOT
暴风雪,DMG-魔,持续,有,大AOE,有,落冰雹
末日,DMG-魔,持续,有,单体,有,DOT+死后召恶魔(R)
死亡守卫,DMG-魔,持续,有,放置点,无,放置：检测自动
闪电守卫,DMG-魔,持续,有,放置点,无,放置：自动闪电
蓄能闪电哨兵,DMG-魔,持续,有,放置点,无,放置：自动发蓄电
火焰唤醒,DMG-魔,持续,有,放置点直线,无,放置：地火喷
烈焰唤醒,DMG-魔,持续,有,放置点AOE,无,放置：地火喷+AOE
北极风暴,DMG-魔,持续,有,近战锥,无,持续喷冰
烈焰,DMG-魔,持续,有,近战锥,无,持续喷火
雷暴风,DMG-魔,持续,有,全屏,有,头顶随机劈
大决战,DMG-魔,持续,有,头顶大AOE,有,头顶持续落火
烈焰之墙,DMG-魔,持续,有,线状,有,
地火裂缝,DMG-魔,持续,有,远程线,有,
生命汲取,DMG-魔,持续,有,中,有,引导吸血
火山,DMG-魔,持续,有,中AOE,有,持续喷石
飓风,DMG-魔,持续,有,自身大AOE,有,持续冰风暴
烈火,DMG-魔,持续,有,自身后跟踪,无,留下火地
烈焰爆炸,DMG-魔,触发,有,自动检测,无,陷阱：被踩爆
电击网,DMG-魔,触发,有,自动检测,无,陷阱：扩散网
神圣电击,DMG-魔,光环,有,中半径,无,光环DOT+武器附电
神圣之火,DMG-魔,光环,有,中半径,无,光环DOT+武器附火
毒爆,DMG-魔,瞬发,有,触发于尸体,无,
尸体爆炸,DMG-魔,瞬发,有,触发于尸体,无,
天堂之拳,DMG-魔,瞬发,有,大AOE,有,落雷+魔法
冰封球,DMG-魔,瞬发,有,大AOE,有,
祝福之锤,DMG-魔,瞬发,有,环绕扩散,无,只伤恶魔
冰刃,DMG-魔,瞬发,有,近战,无,蓄势1-3层冰
凤凰打击,DMG-魔,瞬发,有,近战,无,蓄势释放火电冰
复仇,DMG-魔,瞬发,有,近战,无,加火冰电
雷霆之爪,DMG-魔,瞬发,有,近战,无,蓄势1-3层电
毒匕首,DMG-魔,瞬发,有,近战,无,
火焰之爪,DMG-魔,瞬发,有,近战,无,
狂犬病,DMG-魔,瞬发,有,近战,无,狼形咬DOT
烈火之拳,DMG-魔,瞬发,有,近战,无,蓄势1-3层火
闪电强袭,DMG-魔,瞬发,有,近战,无,
蓄电闪攻,DMG-魔,瞬发,有,近战+发射,无,
闪电连击,DMG-魔,瞬发,有,近战+连锁,无,
爆裂箭,DMG-魔,瞬发,有,小AOE,无,
燃烧箭,DMG-魔,瞬发,有,小AOE,无,
冰川尖刺,DMG-魔,瞬发,有,小AOE,无,冰冻
火焰箭,DMG-魔,瞬发,有,远程,无,
冰弹,DMG-魔,瞬发,有,远程,无,冰冻
冰矢,DMG-魔,瞬发,有,远程,无,减速
毒标,DMG-魔,瞬发,有,远程,无,毒DOT
闪电雷击,DMG-魔,瞬发,有,远程,无,
冰冷箭,DMG-魔,瞬发,有,远程,无,减速
精神之锤,DMG-魔,瞬发,有,远程,无,直接魔法伤
神圣箭,DMG-魔,瞬发,有,远程,无,治疗友军unead damage
冰冻箭,DMG-魔,瞬发,有,远程,无,冰冻
火矢,DMG-魔,瞬发,有,远程,无,
熔岩巨石,DMG-魔,瞬发,有,远程,有,撞击+留地
蓄能闪电,DMG-魔,瞬发,有,远程+扩散,无,多电球扩散
连锁闪电,DMG-魔,瞬发,有,远程+连锁,无,连锁N次
闪电之怒,DMG-魔,瞬发,有,远程+连锁,无,投掷主标分裂
火球术,DMG-魔,瞬发,有,远程+小AOE,无,
瘟疫标枪,DMG-魔,瞬发,有,远程+AOE,无,毒云持续
火风暴,DMG-魔,瞬发,有,远程波纹,无,3条火蛇
骨矛,DMG-魔,瞬发,有,远程穿透,无,
闪电,DMG-魔,瞬发,有,远程穿透线,无,
牙,DMG-魔,瞬发,有,远程扇形,无,
龙卷风,DMG-魔,瞬发,有,远程线,无,
龙卷风Tornado,DMG-魔,瞬发,有,远程线,无,
骨灵,DMG-魔,瞬发,有,远程追踪,无,自动追踪
腐臭蜂群,DMG-魔,瞬发,有,直线,有,直线穿透
穿刺,DMG-魔,瞬发,有,直线,有,直线眩晕
震荡波,DMG-魔,瞬发,有,直线,有,直线穿透
灵魂之火,DMG-魔,瞬发,有,中,有,DOT+减速
闪电链,DMG-魔,瞬发,有,中,有,连锁电
静电力场,DMG-魔,瞬发,有,中AOE,无,削目标HP%
寒冰箭,DMG-魔,瞬发,有,中AOE,无,冰冻+爆裂
集束飞弹,DMG-魔,瞬发,有,中AOE,有,火箭群
雷霆一击,DMG-魔,瞬发,有,中AOE,有,AOE伤+减速
霜冻新星,DMG-魔,瞬发,有,中AOE,有,AOE伤+减速
酸液炸弹,DMG-魔,瞬发,有,中AOE,有,降甲+DOT
火焰呼吸,DMG-魔,瞬发,有,锥形,有,锥形火
叉状闪电,DMG-魔,瞬发,有,锥形,有,锥形多电
新星,DMG-魔,瞬发,有,自身AOE,无,
毒新星,DMG-魔,瞬发,有,自身AOE,无,
冰冻爆裂,DMG-魔,瞬发,有,自身AOE,无,冰冻+爆裂
献祭,DMG-魔,buff,有,周围,有,自身火光环
冰冻之箭,DMG-魔,buff,有,自身,无,远程附冰+减速
灼热之箭,DMG-魔,buff,有,自身,无,远程附火伤
黑箭,DMG-魔,buff,有,自身,无,DOT+杀变僵尸
野兽冲撞,DMG-物,持续,有,大AOE,有,野猪群冲撞(R)
地震,DMG-物,持续,有,大AOE,有,建筑大伤+减速(R)
锋刃哨兵,DMG-物,持续,有,放置点旋转,无,放置型旋刀
怒火,DMG-物,持续,有,近战,无,狼形连击
狂热,DMG-物,持续,有,近战,无,连击多敌
击退,DMG-物,持续,有,近战,无,连击
狂乱,DMG-物,持续,有,近战,无,连击+加速
旋风斩,DMG-物,持续,有,近战环绕移动,无,
扫射,DMG-物,持续,有,扇形多次,无,
剑刃风暴,DMG-物,持续,有,小AOE,有,无敌旋风(R)
刀刃护盾,DMG-物,触发,有,自身,有,反伤护盾
荆棘光环,DMG-物,光环,有,周围,无,反伤光环
荆棘,DMG-物,光环触发,有,中半径,无,受击反弹
龙爪,DMG-物,瞬发,有,近战,无,
猛虎打击,DMG-物,瞬发,有,近战,无,蓄势1-3层加伤
双重挥击,DMG-物,瞬发,有,近战,无,双武器
短刺,DMG-物,瞬发,有,近战,无,快速攻击
穿刺,DMG-物,瞬发,有,近战,无,无视防御
狂战士,DMG-物,瞬发,有,近战,无,物转魔无视防御
专注,DMG-物,瞬发,有,近战,无,无打断
重击,DMG-物,瞬发,有,近战,无,击退
牺牲,DMG-物,瞬发,有,近战,无,自损血换伤
重击Maul,DMG-物,瞬发,有,近战,无,熊形重击+眩晕
龙抓,DMG-物,瞬发,有,近战,无,双爪连击
冲锋,DMG-物,瞬发,有,近战远距,有,移动+撞
龙尾,DMG-物,瞬发,有,近战锥,无,踢击+小AOE
多重箭,DMG-物,瞬发,有,扇形多发,无,
神出鬼没,DMG-物,瞬发,有,小AOE,有,AOE飞刀
魔法箭,DMG-物,瞬发,有,远程,无,无消耗箭
双重投掷,DMG-物,瞬发,有,远程,无,双投掷
锋刃之怒,DMG-物,瞬发,有,远程线,无,
制导箭,DMG-物,瞬发,有,远程追踪,无,自动追踪
龙之飞翔,DMG-物,瞬发,有,远距,有,飞踢+位移
跳跃攻击,DMG-物,瞬发,有,远距+落点AOE,有,跳+砸
荆棘之灵,DMG-物,召唤,有,固定植物,无,反伤光环
兽化,PASSIVE,被动,无,变形状态,无,变形持续+HP+
魔像专精,PASSIVE,被动,无,魔像,无,加强魔像
召唤抗性,PASSIVE,被动,无,召唤物,无,召唤物抗性
骷髅专精,PASSIVE,被动,无,召唤物,无,加强骷髅
穿透,PASSIVE,被动,无,自身,无,+攻击命中
斧专精,PASSIVE,被动,无,自身,无,斧伤+暴击
天然抗性,PASSIVE,被动,无,自身,无,全元素抗
加速,PASSIVE,被动,无,自身,无,+移速
投掷专精,PASSIVE,被动,无,自身,无,投掷伤+暴击
长柄武器专精,PASSIVE,被动,无,自身,无,长柄伤+暴击
钉锤专精,PASSIVE,被动,无,自身,无,锤伤+暴击
贯穿,PASSIVE,被动,无,自身,无,投射物穿透
长矛专精,PASSIVE,被动,无,自身,无,矛伤+暴击
回避,PASSIVE,被动,无,自身,无,远程闪避率
闪避,PASSIVE,被动,无,自身,无,移动中闪避
铁皮,PASSIVE,被动,无,自身,无,+防御
火焰专精,PASSIVE,被动,无,自身,无,火伤%
爪专精,PASSIVE,被动,无,自身,无,爪伤+暴击+命中
工程升级,PASSIVE,被动,无,自身,无,升级其他技能
武器格挡,PASSIVE,被动,无,自身,无,双爪格挡远程
温暖,PASSIVE,被动,无,自身,无,蓝量回复
剑专精,PASSIVE,被动,无,自身,无,剑伤+暴击
增加耐力,PASSIVE,被动,无,自身,无,+耐力
闪避(暗夜),PASSIVE,被动,无,自身,无,闪避率
闪躲,PASSIVE,被动,无,自身,无,近战闪避率
冰冷专精,PASSIVE,被动,无,自身,无,降目标冰抗+冰伤%
重生,PASSIVE,被动,无,自身,无,死后原地复活(R)
闪电专精,PASSIVE,被动,无,自身,无,电伤%
分裂攻击,PASSIVE,被动,有,近战,无,溅射攻击
重击,PASSIVE,被动,有,近战,无,几率眩晕+额外伤害
致命一击,PASSIVE,被动,有,近战,无,暴击倍率
荆棘外壳,PASSIVE,被动,有,自身,无,反伤+护甲
醉拳,PASSIVE,被动,有,自身,无,闪避+暴击
致命攻击,PASSIVE,被动,有,自身,无,暴击率
复苏,SUP,持续,有,大AOE,有,范围引导治疗(R)
治疗药剂,SUP,持续,有,中AOE,有,范围治疗
专注,SUP,光环,无,中半径,无,+伤害+抗打断
冥想,SUP,光环,无,中半径,无,蓝量回复
净化,SUP,光环,无,中半径,无,缩短debuff时间
救赎,SUP,光环,无,中半径,无,吸尸还血蓝
祈祷,SUP,光环,无,中半径,无,HP回复
狂热,SUP,光环,无,中半径,无,+物攻+伤害+攻速移速；最强
活力,SUP,光环,无,中半径,无,+移速+耐力回复
力量,SUP,光环,无,中半径,无,+物攻%
祝福瞄准,SUP,光环,无,中半径,无,+命中
吸血光环,SUP,光环,无,周围,无,物攻吸血
耐久光环,SUP,光环,无,周围,无,+攻速+移速
强击光环,SUP,光环,无,周围,无,+远程伤害
邪恶光环,SUP,光环,无,周围,无,+移速+HP回复
辉煌光环,SUP,光环,无,周围,无,+蓝量回复
黑暗仪式,SUP,瞬发,无,近,有,吃友单位回蓝
死亡契约,SUP,瞬发,无,近,有,吃单位回HP
生命汲取,SUP,瞬发,无,中AOE,无,被打者还血
圣光术,SUP,瞬发,有,单体,有,治友/伤不死
饥饿,SUP,瞬发,有,近战,无,变形咬+还血蓝
眼镜蛇攻击,SUP,瞬发,有,近战,无,蓄势1-3层吸血蓝
治疗波,SUP,瞬发,有,链,有,连锁治疗
死亡缠绕,SUP,瞬发,有,中,有,治不死/伤生
橡树智者,SUP,召唤,无,固定植物,无,光环+主人HP+
太阳藤,SUP,召唤,无,固定植物,无,吸尸还蓝
狼獾之心,SUP,召唤,无,固定植物,无,光环+主人攻
食腐藤,SUP,召唤,无,固定植物,无,吸尸还血
怒吼,SUP,buff,无,中AOE,无,+防御
化学狂暴,SUP,buff,无,自身,有,+攻速+HP+移速
战斗命令,SUP,buff,无,自身AOE,无,+技能等级
战斗指令,SUP,buff,无,自身AOE,无,+HP+蓝最大值
火焰附魔,SUP,buff,有,触碰,有,附魔武器
毒液,SUP,buff,有,自身,有,附武器毒
凶猛狂怒,SUP,buff触发,有,自身,无,狼人击中+移速+HP回复
法力虹吸,UTIL,持续,无,中,有,吸蓝/给蓝
寻找物品,UTIL,瞬发,无,触发于尸体,无,从尸找物品
寻找药水,UTIL,瞬发,无,触发于尸体,无,从尸找药水
点石成金,UTIL,瞬发,无,近,有,杀单位换金(R)
群体传送,UTIL,瞬发,无,全图,有,传送至目标(R)
诱饵,UTIL,瞬发,无,身边,有,假人吸引仇恨
瞬移,UTIL,瞬发,无,远程,无,
念力,UTIL,瞬发,无,远程,无,远程拾取
跳跃,UTIL,瞬发,无,远距,有,位移+击退
影遁,UTIL,瞬发,无,中,有,短距瞬移
魅惑,UTIL,瞬发,无,中,有,控中立单位(R)
复活,UTIL,瞬发,无,周围,有,复活6个友军(R)
哨兵,UTIL,召唤,无,目标,有,猫头鹰侦察
死亡之指,UTIL,召唤,无,小AOE,有,复活附近尸体(R)
元素分裂,UTIL,召唤,无,自身,有,自身分裂(R)
召唤水元素,UTIL,召唤,无,自身,有,水元素辅助攻击
战争古树,UTIL,召唤,无,自身,有,召唤树人
镜像,UTIL,召唤,无,自身,有,幻像扰敌
召唤狼灵,UTIL,召唤,无,自身,有,狼辅助攻击
召唤野猪,UTIL,召唤,无,自身,有,刺背野猪
召唤雄鹰,UTIL,召唤,无,自身,有,提供视野
召唤熊,UTIL,召唤,无,自身,有,熊
复仇之魂,UTIL,召唤,无,自身,有,召唤复仇之魂(R)
召唤骷髅,UTIL,召唤,有,触发于尸体,无,
召唤骷髅法师,UTIL,召唤,有,触发于尸体,无,远程
渡鸦,UTIL,召唤,有,飞行,有,啄眼降视野
毒藤,UTIL,召唤,有,固定植物,无,
腐臭甲虫,UTIL,召唤,有,近,有,召唤甲虫
复活,UTIL,召唤,有,远程,有,复活怪
多头蛇,UTIL,召唤,有,远程释放,无,自动喷火
地狱火,UTIL,召唤,有,中,有,召唤地狱火+落地AOE(R)
静止陷阱,UTIL,召唤,有,中,有,蛇守卫
钢铁魔像,UTIL,召唤,有,装备转化,有,吞装备
凤凰,UTIL,召唤,有,自身,有,自爆+蛋重生(R)
飞弹工厂,UTIL,召唤,有,自身,有,生产小炸弹
熔岩小子,UTIL,召唤,有,自身,有,可分裂火怪
召唤狼灵,UTIL,召唤,有,自身召唤,无,
召唤恶狼,UTIL,召唤,有,自身召唤,无,加强狼灵
烈火魔像,UTIL,召唤,有,自身召唤,有,带火光环
战争女神,UTIL,召唤,有,自身召唤,有,强力召唤物
血肉魔像,UTIL,召唤,有,自身召唤,有,
暗影大师,UTIL,召唤,有,自身召唤,有,更强暗影战士
黏土魔像,UTIL,召唤,有,自身召唤,有,
暗影战士,UTIL,召唤,有,自身召唤,有,
召唤大灰熊,UTIL,召唤,有,自身召唤,有,坦克
疾风步,UTIL,buff,有,自身,有,隐身+移速+下击附伤
